Date,Max.Demand met during the day (MW)
2015-06-11,348.0
2015-06-12,-86.0
2015-06-13,-130.0
2015-06-14,-121.0
2015-06-15,-926.0
2015-06-16,-67.0
2015-06-17,466.0
2015-06-18,203.0
2015-06-19,262.0
2015-06-20,374.0
2015-06-21,-46.0
2015-06-22,-494.0
2015-06-23,-6.0
2015-06-24,280.0
2015-06-25,-297.0
2015-06-26,-830.0
2015-06-27,483.0
2015-06-28,57.0
2015-06-29,418.0
2015-06-30,-20.0
2015-07-01,-189.0
2015-07-02,187.0
2015-07-03,189.0
2015-07-04,-1060.417307692308
2015-07-05,1095.417307692308
2015-07-06,128.0
2015-07-07,-160.0
2015-07-08,-551.0
2015-07-09,273.0
2015-07-10,-256.0
2015-07-11,-211.0
2015-07-12,-811.0
2015-07-13,492.582692307692
2015-07-14,0.0
2015-07-15,425.417307692308
2015-07-16,381.0
2015-07-17,198.0
2015-07-18,-316.0
2015-07-19,-156.0
2015-07-20,-331.0
2015-07-21,81.0
2015-07-22,340.0
2015-07-23,100.0
2015-07-24,115.0
2015-07-25,35.0
2015-07-26,-187.0
2015-07-27,-178.0
2015-07-28,-65.0
2015-07-29,-312.0
2015-07-30,-65.0
2015-07-31,0.0
2015-08-01,-60.0
2015-08-02,346.0
2015-08-03,-308.0
2015-08-04,522.0
2015-08-05,68.0
2015-08-06,-57.0
2015-08-07,-88.0
2015-08-08,51.0
2015-08-09,-517.0
2015-08-10,-148.0
2015-08-11,372.0
2015-08-12,43.0
2015-08-13,0.0
2015-08-14,363.0
2015-08-15,-147.0
2015-08-16,-189.0
2015-08-17,-504.0
2015-08-18,561.0
2015-08-19,153.0
2015-08-20,-33.0
2015-08-21,-67.0
2015-08-22,145.0
2015-08-23,-376.0
2015-08-24,-76.0
2015-08-25,493.0
2015-08-26,192.0
2015-08-27,67.0
2015-08-28,85.0
2015-08-29,-68.0
2015-08-30,-150.0
2015-08-31,-109.0
2015-09-01,292.0
2015-09-02,-29.0
2015-09-03,-138.0
2015-09-04,-32.0
2015-09-05,-155.0
2015-09-06,-37.0
2015-09-07,-25.0
2015-09-08,132.0
2015-09-09,71.0
2015-09-10,-6.0
2015-09-11,-72.0
2015-09-12,91.0
2015-09-13,-96.0
2015-09-14,91.0
2015-09-15,199.0
2015-09-16,156.0
2015-09-17,-153.0
2015-09-18,-68.0
2015-09-19,-30.0
2015-09-20,-234.0
2015-09-21,-110.0
2015-09-22,97.0
2015-09-23,-72.0
2015-09-24,-318.0
2015-09-25,-195.0
2015-09-26,-285.0
2015-09-27,122.0
2015-09-28,34.0
2015-09-29,150.0
2015-09-30,-114.0
2015-10-01,-165.0
2015-10-02,138.0
2015-10-03,-341.0
2015-10-04,163.0
2015-10-05,-102.0
2015-10-06,306.0
2015-10-07,36.0
2015-10-08,144.0
2015-10-09,-130.0
2015-10-10,138.0
2015-10-11,-370.0
2015-10-12,-23.0
2015-10-13,249.0
2015-10-14,8.0
2015-10-15,-3.0
2015-10-16,-75.0
2015-10-17,-55.0
2015-10-18,-197.0
2015-10-19,-211.0
2015-10-20,300.0
2015-10-21,38.0
2015-10-22,-89.0
2015-10-23,-785.0
2015-10-24,529.0
2015-10-25,-329.0
2015-10-26,-72.0
2015-10-27,292.0
2015-10-28,-50.0
2015-10-29,-326.0
2015-10-30,61.0
2015-10-31,30.0
2015-11-01,-116.0
2015-11-02,-193.0
2015-11-03,332.0
2015-11-04,53.0
2015-11-05,3.0
2015-11-06,-11.0
2015-11-07,34.0
2015-11-08,-249.0
2015-11-09,-188.0
2015-11-10,254.0
2015-11-11,-64.0
2015-11-12,-368.0
2015-11-13,-274.0
2015-11-14,348.0
2015-11-15,132.0
2015-11-16,-168.0
2015-11-17,272.0
2015-11-18,-110.0
2015-11-19,112.0
2015-11-20,55.0
2015-11-21,87.0
2015-11-22,-291.0
2015-11-23,-11.0
2015-11-24,117.0
2015-11-25,0.0
2015-11-26,-56.0
2015-11-27,115.0
2015-11-28,-36.0
2015-11-29,-147.0
2015-11-30,41.0
2015-12-01,135.0
2015-12-02,-20.0
2015-12-03,-1.0
2015-12-04,-12.0
2015-12-05,168.0
2015-12-06,-256.0
2015-12-07,89.0
2015-12-08,46.0
2015-12-09,-29.0
2015-12-10,103.0
2015-12-11,-52.0
2015-12-12,144.0
2015-12-13,-115.0
2015-12-14,30.0
2015-12-15,85.0
2015-12-16,45.0
2015-12-17,46.0
2015-12-18,30.0
2015-12-19,180.0
2015-12-20,-199.0
2015-12-21,69.0
2015-12-22,90.0
2015-12-23,44.0
2015-12-24,111.0
2015-12-25,-9.0
2015-12-26,116.0
2015-12-27,-313.0
2015-12-28,14.0
2015-12-29,122.0
2015-12-30,-55.0
2015-12-31,-48.0
2016-01-01,764.582692307692
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,-801.582692307692
2016-02-02,0.0
2016-02-03,1.0
2016-02-04,101.0
2016-02-05,5.0
2016-02-06,78.0
2016-02-07,-278.0
2016-02-08,30.0
2016-02-09,114.0
2016-02-10,2.0
2016-02-11,29.0
2016-02-12,-141.0
2016-02-13,139.0
2016-02-14,-171.0
2016-02-15,-43.0
2016-02-16,65.0
2016-02-17,-88.0
2016-02-18,123.0
2016-02-19,-211.0
2016-02-20,197.0
2016-02-21,-421.0
2016-02-22,-13.0
2016-02-23,80.0
2016-02-24,0.0
2016-02-25,44.0
2016-02-26,20.0
2016-02-27,178.0
2016-02-28,-286.0
2016-02-29,-91.0
2016-03-01,121.0
2016-03-02,614.0
2016-03-03,-542.0
2016-03-04,6.0
2016-03-05,136.0
2016-03-06,-239.0
2016-03-07,-259.0
2016-03-08,1501.582692307692
2016-03-09,-1197.582692307692
2016-03-10,180.0
2016-03-11,-69.0
2016-03-12,103.0
2016-03-13,-253.0
2016-03-14,-148.0
2016-03-15,150.0
2016-03-16,104.0
2016-03-17,2.0
2016-03-18,-106.0
2016-03-19,250.0
2016-03-20,-136.0
2016-03-21,-229.0
2016-03-22,239.0
2016-03-23,-58.0
2016-03-24,1168.582692307692
2016-03-25,-1968.582692307692
2016-03-26,1968.582692307692
2016-03-27,-1328.582692307692
2016-03-28,-82.0
2016-03-29,319.0
2016-03-30,54.0
2016-03-31,135.0
2016-04-01,129.0
2016-04-02,113.0
2016-04-03,-159.0
2016-04-04,50.0
2016-04-05,389.0
2016-04-06,-11.0
2016-04-07,-32.0
2016-04-08,-23.0
2016-04-09,-66.0
2016-04-10,-271.0
2016-04-11,-111.0
2016-04-12,275.0
2016-04-13,0.0
2016-04-14,124.0
2016-04-15,-26.0
2016-04-16,163.0
2016-04-17,200.0
2016-04-18,89.0
2016-04-19,369.0
2016-04-20,96.0
2016-04-21,-322.0
2016-04-22,223.0
2016-04-23,0.0
2016-04-24,-449.0
2016-04-25,-174.0
2016-04-26,241.0
2016-04-27,129.0
2016-04-28,-11.0
2016-04-29,196.0
2016-04-30,83.0
2016-05-01,-219.0
2016-05-02,75.0
2016-05-03,431.0
2016-05-04,182.0
2016-05-05,-212.0
2016-05-06,-253.0
2016-05-07,-67.0
2016-05-08,-16.0
2016-05-09,155.0
2016-05-10,149.0
2016-05-11,154.0
2016-05-12,-3.0
2016-05-13,205.0
2016-05-14,90.0
2016-05-15,-113.0
2016-05-16,32.0
2016-05-17,118.0
2016-05-18,186.0
2016-05-19,24.0
2016-05-20,400.0
2016-05-21,133.0
2016-05-22,-348.0
2016-05-23,-188.0
2016-05-24,-14.0
2016-05-25,-568.0
2016-05-26,202.0
2016-05-27,127.0
2016-05-28,95.0
2016-05-29,75.0
2016-05-30,-906.0
2016-05-31,-402.0
2016-06-01,711.0
2016-06-02,306.0
2016-06-03,345.0
2016-06-04,205.0
2016-06-05,-100.0
2016-06-06,-8.0
2016-06-07,274.0
2016-06-08,-266.0
2016-06-09,170.0
2016-06-10,-163.0
2016-06-11,323.0
2016-06-12,-817.0
2016-06-13,-289.0
2016-06-14,917.0
2016-06-15,-323.0
2016-06-16,256.0
2016-06-17,-263.0
2016-06-18,294.0
2016-06-19,-142.0
2016-06-20,-39.0
2016-06-21,-84.0
2016-06-22,56.0
2016-06-23,-20.0
2016-06-24,-143.0
2016-06-25,513.0
2016-06-26,0.0
2016-06-27,-217.0
2016-06-28,229.0
2016-06-29,0.0
2016-06-30,42.0
2016-07-01,197.0
2016-07-02,52.0
2016-07-03,-811.0
2016-07-04,-789.0
2016-07-05,527.0
2016-07-06,530.0
2016-07-07,-49.0
2016-07-08,69.0
2016-07-09,-177.0
2016-07-10,-315.0
2016-07-11,-1.0
2016-07-12,180.0
2016-07-13,-142.0
2016-07-14,97.0
2016-07-15,87.0
2016-07-16,-255.0
2016-07-17,-249.0
2016-07-18,-845.0
