Date (DD/MM/YYYY),Max.Demand met during the day (MW),Shortage during maximum Demand (MW),Energy Met (MU),"Drawal Schedule
(MU)",OD(+)/UD(-) (MU),Max OD (MW),Energy Shortage (MU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/13,3008.00,0.00,56.10,41.20,-1.10,"220
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/08/20,4438.00,0.00,91.60,79.70,-0.50,116.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/21,3359.00,0.00,58.10,44.40,-2.10,235.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/10/16,3973.00,0.00,78.40,62.60,0.60,"288
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/17,5258.00,0.00,109.40,83.40,-1.40,110.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/20,3306.00,0.00,58.30,46.70,-0.30,143.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/17,3519.00,0.00,60.00,48.90,-0.70,"173
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/15,3048.00,0.00,56.10,42.70,-0.20,"235
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/19,5910.00,0.00,118.50,98.70,0.20,394.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/22,6714.00,0.00,130.70,117.40,-0.80,266.00 ,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/15,3385.00,0.00,68.20,51.50,0.00,"264
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/19,3119.00,0.00,63.20,49.40,-0.90,84.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/18,3682.00,0.00,59.70,42.40,0.10,194.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/05/21,3266.00,0.00,60.60,46.50,-0.50,209.00 ,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/16,4287.00,12.00,86.90,72.70,0.20,"234
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/14,5749.00,0.00,119.30,87.40,-1.50,"217
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/19,4292.00,0.00,69.00,54.10,-0.90,203.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/13,3937.00,0.00,83.40,58.10,-3.20,144.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/12/20,4324.00,0.00,71.10,53.30,0.70,293.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/23,3509.00,0.00,68.90,68.30,-1.80,69.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/14,3522.00,0.00,62.70,42.70,-1.40,"196
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,4362.00,0.00,93.30,82.80,-1.30,80.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/14,3091.00,0.00,60.10,41.70,-3.10,"230
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/19,4119.00,0.00,85.60,70.10,-0.90,87.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/18,5822.00,0.00,116.50,86.80,-0.50,276.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/18,3596.00,0.00,77.80,61.40,-0.80,159.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/19,5097.00,0.00,99.90,82.70,0.30,213.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/12/21,4548.00,0.00,73.30,61.80,-0.60,293.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/15,3052.00,0.00,61.10,43.70,0.70,"266
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/14,5159.00,5.00,108.00,80.30,-0.50,"341
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/02/15,3130.00,0.00,57.50,40.90,-0.60,"163
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/17,3678.00,0.00,61.50,48.60,0.70,"217
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/22,2865.00,0.00,61.30,49.90,-1.50,87.00 ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/22,4803.00,0.00,100.90,93.60,-1.30,135.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/13,4351.00,0.00,92.10,59.80,-1.10,"353
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/18,3664.00,0.00,60.10,49.40,-1.10,149.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/15,4675.00,0.00,94.40,73.30,-1.00,"145
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/04/17,4845.00,0.00,99.10,81.70,0.50,"139
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/05/20,4079.00,0.00,78.70,64.30,-2.10,47.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/22,7089.00,0.00,145.40,133.10,0.00,337.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/18,3582.00,0.00,69.70,50.90,0.10,225.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/13,4251.00,0.00,82.70,66.90,-3.00,"199
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/19,4197.00,0.00,69.10,64.30,-0.30,205.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/04/14,3369.00,0.00,67.90,55.40,-0.30,"254
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/23,5188.00,0.00,106.90,95.30,-2.60,186.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/18,6619.00,0.00,135.20,103.30,-1.60,99.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/16,5400.00,2.00,110.70,84.60,1.40,"617
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/10/17,3468.00,0.00,73.20,60.90,-1.40,134.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/20,3350.00,0.00,61.40,43.30,1.00,208.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/08/21,5502.00,0.00,110.50,103.00,-1.50,113.00 ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/12/22,4686.00,0.00,78.80,72.00,-2.30,269.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/14,3225.00,6.00,58.50,41.50,-1.10,"243
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/02/16,3464.00,2.00,57.80,44.10,0.00,"225
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/21,3498.00,0.00,68.50,55.90,-1.20,110.00 ,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/19,6386.00,0.00,132.20,110.20,1.40,284.00 ,"0.1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/13,4405.00,0.00,97.30,69.70,-1.00,"187
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/15,3559.00,2.00,62.90,48.10,-0.60,"219
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/17,4264.00,0.00,90.20,67.80,-2.20,32.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/23,5050.00,0.00,83.20,72.40,-2.80,277.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/21,3407.00,0.00,65.40,54.20,-1.10,159.00 ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/20,5449.00,0.00,101.60,87.20,-2.00,56.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/18,3520.00,0.00,63.90,50.70,-0.20,188.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/18,5037.00,0.00,104.20,81.90,0.40,136.00 ,"0.0
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
