Date,Max.Demand met during the day (MW)
2014-11-02,-346.0
2014-11-03,260.0
2014-11-04,338.0
2014-11-05,-278.0
2014-11-06,146.0
2014-11-07,-205.0
2014-11-08,415.0
2014-11-09,-564.0
2014-11-10,248.0
2014-11-11,69.0
2014-11-12,-98.0
2014-11-13,20.0
2014-11-14,-53.0
2014-11-15,11.0
2014-11-16,-57.0
2014-11-17,104.0
2014-11-18,174.0
2014-11-19,-134.0
2014-11-20,0.0
2014-11-21,23.0
2014-11-22,-73.0
2014-11-23,-114.0
2014-11-24,146.0
2014-11-25,87.0
2014-11-26,-156.0
2014-11-27,156.0
2014-11-28,-68.0
2014-11-29,18.0
2014-11-30,-180.0
2014-12-01,121.0
2014-12-02,-45.0
2014-12-03,-9.0
2014-12-04,406.0
2014-12-05,-586.0
2014-12-06,431.0
2014-12-07,-386.0
2014-12-08,118.0
2014-12-09,235.0
2014-12-10,-163.0
2014-12-11,78.0
2014-12-12,-111.0
2014-12-13,114.0
2014-12-14,5.0
2014-12-15,-69.0
2014-12-16,-42.0
2014-12-17,47.0
2014-12-18,169.0
2014-12-19,-130.0
2014-12-20,116.0
2014-12-21,-178.0
2014-12-22,-22.0
2014-12-23,268.0
2014-12-24,-138.0
2014-12-25,-143.0
2014-12-26,161.0
2014-12-27,111.0
2014-12-28,-223.0
2014-12-29,-11.0
2014-12-30,53.0
2014-12-31,-239.0
2015-01-01,331.0
2015-01-02,-254.0
2015-01-03,-292.0
2015-01-04,710.0
2015-01-05,-566.0
2015-01-06,564.0
2015-01-07,-287.0
2015-01-08,178.0
2015-01-09,-200.0
2015-01-10,238.0
2015-01-11,-619.0
2015-01-12,328.0
2015-01-13,253.0
2015-01-14,-225.0
2015-01-15,163.0
2015-01-16,-201.0
2015-01-17,213.0
2015-01-18,-461.0
2015-01-19,276.0
2015-01-20,150.0
2015-01-21,-135.0
2015-01-22,120.0
2015-01-23,-207.0
2015-01-24,262.0
2015-01-25,-255.0
2015-01-26,-93.0
2015-01-27,-392.0
2015-01-28,1332.0
2015-01-29,-703.0
2015-01-30,-133.0
2015-01-31,347.0
2015-02-01,-488.0
2015-02-02,176.0
2015-02-03,102.0
2015-02-04,-25.0
2015-02-05,3.0
2015-02-06,-65.0
2015-02-07,160.0
2015-02-08,-773.0
2015-02-09,981.0
2015-02-10,-299.0
2015-02-11,-31.0
2015-02-12,34.0
2015-02-13,-67.0
2015-02-14,156.0
2015-02-15,-253.0
2015-02-16,19.0
2015-02-17,45.0
2015-02-18,292.0
2015-02-19,-488.0
2015-02-20,303.0
2015-02-21,146.0
2015-02-22,-445.0
2015-02-23,289.0
2015-02-24,-3.0
2015-02-25,74.0
2015-02-26,11.0
2015-02-27,-242.0
2015-02-28,231.0
2015-03-01,-193.0
2015-03-02,-263.0
2015-03-03,679.0
2015-03-04,-133.0
2015-03-05,-73.0
2015-03-06,-151.0
2015-03-07,-888.0
